,0,1,2,3
0,5,tn,20,1
1,6,tamil,20,1
2,7,tamilnadu,20,1
3,7,tamilnadu,20,23
4,7,tamilnadu,21,1
5,7,tamilnadu,21,23
6,8,map,20,1
7,8,map,20,23
8,8,map,21,1
9,8,map,21,23
10,9,indiamap,21,1
11,9,indiamap,21,23
12,28,ipl2020,4,1
13,28,ipl2020,4,23
14,28,ipl2020,4,24
15,28,ipl2020,10,1
16,28,ipl2020,10,23
17,28,ipl2020,10,24
18,28,ipl2020,14,1
19,28,ipl2020,14,23
20,28,ipl2020,14,24
21,28,ipl2020,15,1
22,28,ipl2020,15,23
23,28,ipl2020,15,24
24,28,ipl2020,24,1
25,28,ipl2020,24,23
26,28,ipl2020,24,24
27,29,dcvsmi,4,1
28,30,ipl2020final,4,1
29,31,csk,10,23
30,32,ipl,10,1
31,32,ipl,10,23
32,32,ipl,10,24
33,32,ipl,14,1
34,32,ipl,14,23
35,32,ipl,14,24
36,32,ipl,15,1
37,32,ipl,15,23
38,32,ipl,15,24
39,32,ipl,24,1
40,32,ipl,24,23
41,32,ipl,24,24
42,33,bike,12,1
43,33,bike,12,23
44,34,bikeride,12,1
45,34,bikeride,12,23
46,35,automobiles,12,1
47,35,automobiles,12,23
48,36,vechicles,12,1
49,36,vechicles,12,23
50,37,mivsdc,14,1
51,37,mivsdc,14,23
52,38,rohit,14,1
53,38,rohit,14,23
54,38,rohit,22,1
55,38,rohit,22,23
56,39,shreyas,14,1
57,39,shreyas,14,23
58,40,supportdc,15,1
59,40,supportdc,15,23
60,40,supportdc,15,24
61,41,car,16,1
62,41,car,16,23
63,42,vechicle,16,1
64,42,vechicle,16,23
65,43,carride,16,1
66,43,carride,16,23
67,44,nature,16,1
68,44,nature,16,23
69,45,carluver,16,1
70,45,carluver,16,23
71,46,mi,22,1
72,46,mi,22,23
73,46,mi,24,1
74,46,mi,24,23
75,47,mumbai,22,1
76,47,mumbai,22,23
77,47,mumbai,24,1
78,47,mumbai,24,23
79,48,csk1,23,1
80,48,csk1,23,23
81,49,dog,51,
82,50,animal,51,
83,51,pet,51,
84,52,love,51,
